0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:18:56 +0530] "GET /project_3/ HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:19:02 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:19:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:19:37 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:19:49 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:19:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 12502
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:19:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 12498
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:39 +0530] "GET /project_3/ctl/SupplierListCtl HTTP/1.1" 200 18029
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:53 +0530] "GET /project_3/ctl/PaymentListCtl HTTP/1.1" 200 20163
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:57 +0530] "POST /project_3/ctl/PaymentListCtl HTTP/1.1" 200 17369
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:59 +0530] "POST /project_3/ctl/PaymentListCtl HTTP/1.1" 200 20163
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:20:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:21:08 +0530] "GET /project_3/ctl/OrderListCtl HTTP/1.1" 200 17321
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:21:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
